accession,subtype,host,host_source,country,collection_date,isolation_source,seq_technology,st_confidence,seq_length,cluster_top,cluster_subtype,cluster_variant,st_status,human_report,st_note,dist_from_medoid,potential_novel_variant,novel_variant_reason
OR117664.1,ST23,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,43,56,accepted,True,"Reported in humans (Colombia, Thailand)",-0.0,False,
OR117663.1,ST43,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,59,accepted,False,ST10 split; Santin et al. 2024,-0.0,False,
OR117662.1,ST43,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,59,accepted,False,ST10 split; Santin et al. 2024,0.0005655042680737605,False,
OR117660.1,ST43,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,59,accepted,False,ST10 split; Santin et al. 2024,-0.0,False,
OR117652.1,ST44,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,57,accepted,False,ST10 split; Santin et al. 2024,-0.0,False,
OR117651.1,ST44,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,57,accepted,False,ST10 split; Santin et al. 2024,-0.0,False,
OR117650.1,ST44,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,57,accepted,False,ST10 split; Santin et al. 2024,-0.0,False,
OR117625.1,ST44,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,31,44,57,accepted,False,ST10 split; Santin et al. 2024,0.0022645799428224664,False,
OR117624.1,ST44,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,31,44,57,accepted,False,ST10 split; Santin et al. 2024,0.0016977935942911052,False,
OM883876.1,ST24,Ovis aries,Unknown,Greenland,Unknown,Unknown,ONT,high,2840,49,89,188,tentative,False,Cattle (USA),-0.0,False,
OM883875.1,ST21,Ovis aries,Unknown,Greenland,Unknown,Unknown,ONT,high,2840,47,81,169,accepted,False,Avian; accepted after full-length validation,-0.0,False,
OM883874.1,ST24,Ovis aries,Unknown,Greenland,Unknown,Unknown,ONT,high,2840,49,89,184,tentative,False,Cattle (USA),0.01599755947092539,False,
OM883872.1,ST10,Ovis aries,Unknown,Greenland,Unknown,Unknown,ONT,high,2840,31,44,57,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.016238794037279135,False,
OM883871.1,ST10,Ovis aries,Unknown,Greenland,Unknown,Unknown,ONT,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.011330131846607513,False,
OM883869.1,ST21,Ovibos moschatus,Unknown,Greenland,Unknown,Unknown,ONT,high,2840,47,81,169,accepted,False,Avian; accepted after full-length validation,0.002823798516497716,False,
OP563853.1,ST39,Macaca mulatta,host_qualifier,China,Unknown,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.002512039191622726,False,
OP563852.1,ST39,Macaca mulatta,host_qualifier,China,Unknown,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.0031413658490641013,False,
OP563851.1,ST39,Macaca mulatta,host_qualifier,China,Unknown,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.002512039191622726,False,
OP563850.1,ST39,Macaca mulatta,host_qualifier,China,Unknown,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.0044016055910799014,False,
OP563849.1,ST39,Macaca mulatta,host_qualifier,China,Unknown,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.008829195932384128,False,
OP563848.1,ST39,Macaca mulatta,host_qualifier,China,Unknown,Unknown,Sanger,high,2840,58,103,211,tentative,False,Recently proposed,0.013283079647193108,False,
OP563847.1,ST39,Macaca mulatta,host_qualifier,China,Unknown,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.0075615007224771645,False,
OP563846.1,ST39,Macaca mulatta,host_qualifier,China,Unknown,Unknown,Sanger,high,2840,58,103,212,tentative,False,Recently proposed,0.006928455738702186,False,
OP563845.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.0335251341884302,False,
OP563844.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.031812804677503706,False,
OP563843.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.031812804677503706,False,
OP563842.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.030958103730303478,False,
OP563841.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,55,78,accepted,True,Most prevalent globally; IBS-D association,0.031812804677503706,False,
OP563840.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,58,85,accepted,True,Most prevalent globally; IBS-D association,0.02242692013040239,False,
OP563839.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0073952941005601056,False,
OP563838.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.009048642799880149,False,
OP563837.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,58,85,accepted,True,Most prevalent globally; IBS-D association,0.024115159447641615,False,
OP563836.1,ST3,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,38,58,85,accepted,True,Most prevalent globally; IBS-D association,0.021584223412532553,False,
OP563835.1,ST2,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.001984784486159898,False,
OP563834.1,ST2,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.006969847704532177,False,
OP563833.1,ST2,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.003974835404988641,False,
OP563832.1,ST2,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.003974835404988641,False,
OP563831.1,ST2,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.001984784486159898,False,
OP563830.1,ST2,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.001984784486159898,False,
OP563829.1,ST2,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.001984784486159898,False,
OP563828.1,ST1,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
OP563827.1,ST1,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.02915916842937642,False,
OP563826.1,ST1,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.03121255780238037,False,
OP563825.1,ST1,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.02711138558723332,False,
OP563824.1,ST1,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
OP563823.1,ST1,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.02405015684749689,False,
OP563822.1,ST1,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
OP563821.1,ST1,Macaca mulatta,Unknown,China,Unknown,Unknown,Sanger,high,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.028134578106093912,False,
OP720872.1,ST37,Heteromyidae,host_qualifier,Mexico,Unknown,feces,ONT,high,2840,21,30,42,accepted,False,Wild rodent (Heteromyidae),,False,
OP720871.1,ST36,Sturnira lilium,host_qualifier,Mexico,Unknown,feces,ONT,high,2840,20,28,40,accepted,False,Wild bat (S. lilium),,False,
OP720870.1,ST35,Homo sapiens,host_qualifier,Brazil,Unknown,feces,ONT,high,2840,20,29,41,accepted,True,Human isolate 168; Nanopore full-length validated,0.1582827822661552,False,
OP720869.1,ST38,Arvicola amphibius,Unknown,United Kingdom,Unknown,feces,ONT,high,2840,22,31,43,accepted,False,European water vole,,False,
ON932571.1,ST34,Equus caballus,host_qualifier,Colombia,Unknown,feces,ONT,high,2840,25,34,46,tentative,False,Limited data,0.10471717320933974,False,
ON932570.1,ST33,Equus caballus,host_qualifier,Colombia,Unknown,feces,ONT,high,2840,24,33,45,tentative,False,Limited data,,False,
ON932569.1,ST33,Equus caballus,host_qualifier,Colombia,Unknown,feces,ONT,high,2840,24,33,45,tentative,False,Limited data,,False,
OP001723.1,ST2,Homo sapiens,host_qualifier,Iran,Unknown,Unknown,Sanger,high,2840,52,93,193,accepted,True,Common in humans; urticaria association,0.004937476686898087,False,
OP001722.1,ST3,Homo sapiens,host_qualifier,Iran,Unknown,Unknown,Sanger,high,2840,38,58,86,accepted,True,Most prevalent globally; IBS-D association,0.015282030055133173,False,
MZ265408.1,ST26,Capra hircus,host_qualifier,Colombia,Unknown,feces,ONT,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,0.007822756709154334,False,
MZ265407.1,ST24,Capra hircus,host_qualifier,Colombia,Unknown,feces,ONT,high,2840,49,89,188,tentative,False,Cattle (USA),0.00113143525134964,False,
MZ265406.1,ST23,Capra hircus,host_qualifier,Colombia,Unknown,feces,ONT,high,2840,31,43,56,accepted,True,"Reported in humans (Colombia, Thailand)",0.000567429571231395,False,
MZ265404.1,ST10,Capra hircus,host_qualifier,Colombia,Unknown,feces,ONT,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.011330131846607513,False,
MZ265403.1,ST32,Capra hircus,host_qualifier,Colombia,Unknown,feces,ONT,high,2840,47,84,175,tentative,False,Limited data,,False,
MZ267679.1,ST10,Odocoileus virginianus (white-tailed deer),Unknown,USA,Unknown,feces,Illumina,Unknown,2840,31,44,57,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.016238794037279135,False,
MZ267678.1,ST30,Odocoileus virginianus (white-tailed deer),Unknown,USA,Unknown,feces,Illumina,Unknown,2840,47,83,173,tentative,False,Limited data,0.0005635919859424285,False,
MZ267677.1,ST30,Odocoileus virginianus (white-tailed deer),Unknown,USA,Unknown,feces,Illumina,Unknown,2840,47,83,173,tentative,False,Limited data,-0.0,False,
MZ267676.1,ST31,Odocoileus virginianus (white-tailed deer),Unknown,USA,Unknown,feces,Illumina,Unknown,2840,49,87,180,tentative,False,Limited data,,False,
MZ267675.1,ST10,Odocoileus virginianus (white-tailed deer),Unknown,USA,Unknown,feces,Illumina,Unknown,2840,31,44,57,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.016238794037279135,False,
MZ267674.1,ST30,Odocoileus virginianus (white-tailed deer),Unknown,USA,Unknown,feces,Illumina,Unknown,2840,47,83,173,tentative,False,Limited data,0.0005635919859424285,False,
MZ452062.1,ST23,Bos taurus,Unknown,China,Unknown,feces,Sanger,high,2840,32,48,68,accepted,True,"Reported in humans (Colombia, Thailand)",0.054295897102721195,True,d_medoid=0.0543 > 0.0200; minority cluster (48)
MZ452061.1,ST21,Bos taurus,Unknown,China,Unknown,feces,Sanger,high,2840,50,90,190,accepted,False,Avian; accepted after full-length validation,0.06033402391405441,True,d_medoid=0.0603 > 0.0200; minority cluster (90)
MT453999.1,ST26,Bos taurus,Unknown,China,Unknown,feces,Sanger,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,0.0029325550558822505,False,
MT453998.1,ST26,Bos taurus,Unknown,China,Unknown,feces,Sanger,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,-0.0,False,
MW887935.1,ST28,Indian peafowl,host_qualifier,Brazil,Unknown,feces,ONT,high,2840,8,8,10,accepted,False,Full-length MinION validated,,False,
MW887934.1,ST27,Indian peafowl,host_qualifier,Brazil,Unknown,feces,ONT,high,2840,13,15,20,accepted,False,Full-length MinION validated,,False,
MW887933.1,ST25,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,49,88,182,tentative,False,Cattle,-0.0,False,
MW887932.1,ST26,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,0.0039049876697671466,False,
MW887931.1,ST23,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,31,43,56,accepted,True,"Reported in humans (Colombia, Thailand)",-0.0,False,
MW887930.1,ST24,White-tailed deer,host_qualifier,USA,Unknown,feces,ONT,high,2840,49,89,184,tentative,False,Cattle (USA),0.016575260250499477,False,
MW887929.1,ST21,White-tailed deer,host_qualifier,USA,Unknown,feces,ONT,high,2840,47,81,169,accepted,False,Avian; accepted after full-length validation,-0.0,False,
MW887928.1,ST24,White-tailed deer,host_qualifier,USA,Unknown,feces,ONT,high,2840,49,89,184,tentative,False,Cattle (USA),0.016575260250499477,False,
MW538478.1,ST6,Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.0019986687377825593,False,
MW538477.1,ST7,Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,high,2840,16,20,27,accepted,True,Primarily birds/poultry,0.05054176642873267,True,d_medoid=0.0505 > 0.0450; minority cluster (20)
MW538476.1,ST7,Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,high,2840,16,19,25,accepted,True,Primarily birds/poultry,0.04871276972086988,True,d_medoid=0.0487 > 0.0450; minority cluster (19)
MW538475.1,ST7,Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,high,2840,17,23,35,accepted,True,Primarily birds/poultry,0.04450457983973158,True,minority cluster (23)
MW538474.1,ST7,Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,high,2840,16,21,29,accepted,True,Primarily birds/poultry,0.060721728973133916,True,d_medoid=0.0607 > 0.0450; minority cluster (21)
MW538473.1,ST29,Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,high,2840,29,39,52,accepted,False,Full-length MinION validated,,False,
MW737700.1,ST14,Bos taurus,Unknown,China: Yunnan,Aug-2020,feces,Sanger,high,2840,49,89,189,accepted,True,Cattle/artiodactyls; rare in humans,0.03805694417129823,True,minority cluster (89)
MW737699.1,ST14,Bos taurus,Unknown,China: Yunnan,Aug-2020,feces,Sanger,high,2840,49,89,185,accepted,True,Cattle/artiodactyls; rare in humans,0.0411814322973714,True,minority cluster (89)
MW737696.1,ST12,Bos taurus,Unknown,China: Yunnan,Aug-2020,feces,Sanger,high,2840,43,68,122,accepted,True,Non-human primates; occasional in humans,0.0653899157678714,True,d_medoid=0.0654 > 0.0621; minority cluster (68)
MW737693.1,ST10,Bos taurus,Unknown,China: Yunnan,Aug-2020,feces,Sanger,high,2840,31,45,62,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.024703756514527456,True,minority cluster (45)
MW737692.1,ST10,Bos taurus,Unknown,China: Yunnan,Aug-2020,feces,Sanger,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.019819485258975304,False,
MW737690.1,ST10,Bos taurus,Unknown,China: Yunnan,Aug-2020,feces,Sanger,high,2840,31,41,54,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.046303275454334665,True,minority cluster (41)
MW737689.1,ST10,Bos taurus,Unknown,China: Yunnan,Aug-2020,feces,Sanger,high,2840,31,45,63,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.014706353541282234,True,minority cluster (45)
MW737688.1,ST3,Bos taurus,Unknown,China: Yunnan,Aug-2020,feces,Sanger,high,2840,39,62,111,accepted,True,Most prevalent globally; IBS-D association,0.014851970472134816,False,
MT898459.1,ST14,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,49,88,181,accepted,True,Cattle/artiodactyls; rare in humans,-0.0,False,
MT898458.1,ST14,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,49,88,181,accepted,True,Cattle/artiodactyls; rare in humans,-0.0,False,
MT898457.1,ST10,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.002413517770650548,False,
MT898456.1,ST10,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.002413517770650548,False,
MT898455.1,ST11,Elephant,host_qualifier,USA,Unknown,feces,ONT,high,2840,55,98,206,accepted,False,Non-human primates,0.11282962628053528,True,d_medoid=0.1128 > 0.0200; minority cluster (98)
MT898454.1,ST11,Elephant,host_qualifier,USA,Unknown,feces,ONT,high,2840,55,97,205,accepted,False,Non-human primates,0.11508781391049747,True,d_medoid=0.1151 > 0.0200; minority cluster (97)
MT898453.1,ST4,Homo sapiens,host_qualifier,Spain,Unknown,feces,ONT,high,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,0.000806885500097344,False,
MT898452.1,ST4,Homo sapiens,host_qualifier,USA,Unknown,culture,ONT,high,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,-0.0,False,
MT898451.1,ST1,Homo sapiens,host_qualifier,USA,Unknown,culture,ONT,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.000987817067395785,False,
MW228072.1,ST10,Bos taurus,Unknown,China,Unknown,feces,Sanger,high,2840,31,47,67,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.03484947447242359,True,minority cluster (47)
MW228071.1,ST10,Bos taurus,Unknown,China,Unknown,feces,Sanger,high,2840,31,44,58,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.02587477308127173,False,
MN914082.1,ST3,human feaces,Unknown,Germany,Unknown,human feaces,Ion Torrent,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0008075370901290517,False,
MN914081.1,ST3,human feaces,Unknown,Germany,Unknown,human feaces,Ion Torrent,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.00572209860086763,False,
MN914080.1,ST3,human feaces,Unknown,Germany,Unknown,human feaces,Ion Torrent,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0056988062517148025,False,
MN914078.1,ST1,human feaces,Unknown,Germany,Unknown,human feaces,Ion Torrent,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.007039944414677564,False,
MN914076.1,ST1,human feaces,Unknown,Germany,Unknown,human feaces,Ion Torrent,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002964430736867519,False,
MN914075.1,ST1,human feaces,Unknown,Germany,Unknown,human feaces,Ion Torrent,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002964430736867519,False,
MN914073.1,ST3,human feaces,Unknown,Germany,Unknown,human feaces,Ion Torrent,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,-0.0,False,
MN914072.1,ST1,human feaces,Unknown,Germany,Unknown,human feaces,Ion Torrent,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002964430736867519,False,
MK801422.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.001627781431162271,False,
MK801421.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
MK801420.1,ST15,Sus scrofa domesticus,Unknown,Romania,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,-0.0,False,
MK801419.1,ST5,Sus scrofa domesticus,Unknown,Romania,Unknown,feces,Unknown,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.003387922192364859,False,
MK801418.1,ST5,Sus scrofa domesticus,Unknown,Romania,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.001145038390349931,False,
MK801417.1,ST5,Sus scrofa domesticus,Unknown,Austria,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.00230370693699015,False,
MK801416.1,ST15,Sus scrofa domesticus,Unknown,Austria,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.006528876920498091,False,
MK801415.1,ST5,Sus scrofa domesticus,Unknown,Austria,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0022905152370755587,False,
MK801414.1,ST5,Sus scrofa domesticus,Unknown,Austria,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0011463510065164338,False,
MK801413.1,ST15,Sus scrofa domesticus,Unknown,Austria,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.002155948304583352,False,
MK801412.1,ST5,Sus scrofa domesticus,Unknown,Austria,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
MK801411.1,ST1,Sus scrofa domesticus,Unknown,Austria,Unknown,feces,Ion Torrent,Unknown,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.004947247489914933,False,
MK801410.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0016920480950119875,False,
MK801409.1,ST3,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0024252244252986827,False,
MK801408.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
MK801407.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.005645491466184721,False,
MK801406.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0011549569173650571,False,
MK801405.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.001077199467043106,False,
MK801404.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0023023809332163685,False,
MK801403.1,ST3,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0008049370238706588,False,
MK801402.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
MK801401.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
MK801400.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,239,accepted,True,Most prevalent globally; IBS association,0.006935320224598055,False,
MK801399.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
MK801398.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.001627781431162271,False,
MK801397.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0017152666138464984,False,
MK801396.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,239,accepted,True,Most prevalent globally; IBS association,0.01192868087974835,False,
MK801395.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.005566921086643126,False,
MK801394.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.007526114871995354,False,
MK801393.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.002722326037934043,False,
MK801392.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0011522952141833059,False,
MK801391.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
MK801389.1,ST3,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0016120371601083374,False,
MK801387.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.002695905131361455,False,
MK801386.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
MK801385.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,239,accepted,True,Most prevalent globally; IBS association,0.01494073312091582,False,
MK801384.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.004379574488669496,False,
MK801383.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.003422709876371374,False,
MK801382.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.0027119899374787545,False,
MK801381.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0022918276046084134,False,
MK801380.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,239,accepted,True,Most prevalent globally; IBS association,0.013935371040076867,False,
MK801379.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.002897434548161654,False,
MK801378.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0034602137501345406,False,
