accession,length,host,definition,note,isolation_source,host_raw,ref_titles,record_categories,record_evidence,study_categories,study_evidence,subtype,st_source
OP725972.1,480,Homo sapiens,"Blastocystis sp. isolate T41.2 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725971.1,480,Homo sapiens,"Blastocystis sp. isolate N03.2 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725970.1,482,Homo sapiens,"Blastocystis sp. isolate P28.2 small subunit ribosomal RNA gene, partial sequence",subtype: ST4,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST4,barcode_mapping
OP725969.1,478,Homo sapiens,"Blastocystis sp. isolate P26.2 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725968.1,480,Homo sapiens,"Blastocystis sp. isolate T72 small subunit ribosomal RNA gene, partial sequence",subtype: ST5,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST12,barcode_mapping
OP725967.1,480,Homo sapiens,"Blastocystis sp. isolate P11.2 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725966.1,479,Homo sapiens,"Blastocystis sp. isolate P28.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725965.1,479,Homo sapiens,"Blastocystis sp. isolate P26.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725964.1,480,Homo sapiens,"Blastocystis sp. isolate T30 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725963.1,479,Homo sapiens,"Blastocystis sp. isolate T49 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725962.1,479,Homo sapiens,"Blastocystis sp. isolate P22 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725961.1,479,Homo sapiens,"Blastocystis sp. isolate T14.2 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725960.1,479,Homo sapiens,"Blastocystis sp. isolate P04.2 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725959.1,479,Homo sapiens,"Blastocystis sp. isolate T62 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725958.1,479,Homo sapiens,"Blastocystis sp. isolate N05 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725957.1,481,Homo sapiens,"Blastocystis sp. isolate T14.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST5,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST5,barcode_mapping
OP725956.1,479,Homo sapiens,"Blastocystis sp. isolate T31 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725955.1,479,Homo sapiens,"Blastocystis sp. isolate P04.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725954.1,479,Homo sapiens,"Blastocystis sp. isolate T80.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725953.1,482,Homo sapiens,"Blastocystis sp. isolate P07 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST3,barcode_mapping
OP725952.1,480,Homo sapiens,"Blastocystis sp. isolate T08 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725951.1,479,Homo sapiens,"Blastocystis sp. isolate P23 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725950.1,479,Homo sapiens,"Blastocystis sp. isolate T07 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725949.1,480,Homo sapiens,"Blastocystis sp. isolate T41.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725948.1,480,Homo sapiens,"Blastocystis sp. isolate T58 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725947.1,480,Homo sapiens,"Blastocystis sp. isolate P11.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725946.1,482,Homo sapiens,"Blastocystis sp. isolate T56 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST3,barcode_mapping
OP725945.1,482,Homo sapiens,"Blastocystis sp. isolate P17 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST3,barcode_mapping
OP725944.1,479,Homo sapiens,"Blastocystis sp. isolate N11 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725943.1,480,Homo sapiens,"Blastocystis sp. isolate T15 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725942.1,479,Homo sapiens,"Blastocystis sp. isolate P24 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725941.1,480,Homo sapiens,"Blastocystis sp. isolate P25 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725940.1,480,Homo sapiens,"Blastocystis sp. isolate T44 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725939.1,482,Homo sapiens,"Blastocystis sp. isolate P21 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST3,barcode_mapping
OP725938.1,482,Homo sapiens,"Blastocystis sp. isolate P14 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST3,barcode_mapping
OP725937.1,479,Homo sapiens,"Blastocystis sp. isolate T11 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725936.1,479,Homo sapiens,"Blastocystis sp. isolate T33 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725935.1,480,Homo sapiens,"Blastocystis sp. isolate P31 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725934.1,480,Homo sapiens,"Blastocystis sp. isolate P18 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725933.1,482,Homo sapiens,"Blastocystis sp. isolate T20 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST3,barcode_mapping
OP725932.1,479,Homo sapiens,"Blastocystis sp. isolate T34 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725931.1,480,Homo sapiens,"Blastocystis sp. isolate P09 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725930.1,480,Homo sapiens,"Blastocystis sp. isolate P16 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725929.1,479,Homo sapiens,"Blastocystis sp. isolate P27 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725928.1,480,Homo sapiens,"Blastocystis sp. isolate N03.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST1,barcode_mapping
OP725927.1,479,Homo sapiens,"Blastocystis sp. isolate P10 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725926.1,479,Homo sapiens,"Blastocystis sp. isolate P03 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST2,barcode_mapping
OP725925.1,482,Homo sapiens,"Blastocystis sp. isolate T21 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST3,barcode_mapping
OP725924.1,482,Homo sapiens,"Blastocystis sp. isolate P08 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST3,barcode_mapping
OP725923.1,482,Homo sapiens,"Blastocystis sp. isolate P02 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,feces,Homo sapiens,Exploring Blastocystis genetic diversity in rural schoolchildren from Colombia using next-generation amplicon sequencing reveals significant associations between contact with animals and infection risk; Direct Submission,,,,,ST3,barcode_mapping
OQ913715.1,434,Homo sapiens,"Blastocystis sp. isolate KEDIAL50 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
OQ913709.1,357,Homo sapiens,"Blastocystis sp. isolate KEDIAL34 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST2,barcode_mapping
OQ913708.1,427,Homo sapiens,"Blastocystis sp. isolate KEDIAL35 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
OQ913706.1,424,Homo sapiens,"Blastocystis sp. isolate KEDIAL31 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
OQ913704.1,420,Homo sapiens,"Blastocystis sp. isolate KEDIAL33 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
OQ913700.1,424,Homo sapiens,"Blastocystis sp. isolate KEDIAL29 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
OQ913686.1,429,Homo sapiens,"Blastocystis sp. isolate KEDIAL26 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST1,barcode_mapping
OQ913685.1,368,Homo sapiens,"Blastocystis sp. isolate KEDIAL25 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST1,barcode_mapping
OQ913681.1,371,Homo sapiens,"Blastocystis sp. isolate KEDIAL24 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
OQ913680.1,434,Homo sapiens,"Blastocystis sp. isolate KEDIAL22 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
OQ913677.1,421,Homo sapiens,"Blastocystis sp. isolate KEDIAL06 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
OQ913675.1,427,Homo sapiens,"Blastocystis sp. isolate KEDIAL05 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
OP716164.1,295,Homo sapiens,"Blastocystis sp. isolate 310.4 small subunit ribosomal RNA gene, partial sequence",subtype: ST14,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST26,barcode_mapping
OP716163.1,300,Homo sapiens,"Blastocystis sp. isolate 310.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST7,barcode_mapping
OP716162.1,286,Homo sapiens,"Blastocystis sp. isolate 309 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716161.1,286,Homo sapiens,"Blastocystis sp. isolate 308 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716160.1,300,Homo sapiens,"Blastocystis sp. isolate 307.4 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST7,barcode_mapping
OP716159.1,293,Homo sapiens,"Blastocystis sp. isolate 307.3 small subunit ribosomal RNA gene, partial sequence",subtype: ST10,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST44,barcode_mapping
OP716158.1,286,Homo sapiens,"Blastocystis sp. isolate 307.2 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716157.1,294,Homo sapiens,"Blastocystis sp. isolate 302 small subunit ribosomal RNA gene, partial sequence",subtype: ST10,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST10,barcode_mapping
OP716156.1,300,Homo sapiens,"Blastocystis sp. isolate 299 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST7,barcode_mapping
OP716155.1,286,Homo sapiens,"Blastocystis sp. isolate 297 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716154.1,286,Homo sapiens,"Blastocystis sp. isolate 296 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716153.1,286,Homo sapiens,"Blastocystis sp. isolate 295 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716152.1,286,Homo sapiens,"Blastocystis sp. isolate 292 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716151.1,286,Homo sapiens,"Blastocystis sp. isolate 291 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716150.1,286,Homo sapiens,"Blastocystis sp. isolate 287.5 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716149.1,296,Homo sapiens,"Blastocystis sp. isolate 287.3 small subunit ribosomal RNA gene, partial sequence",subtype: ST14,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST26,barcode_mapping
OP716148.1,293,Homo sapiens,"Blastocystis sp. isolate 287.2 small subunit ribosomal RNA gene, partial sequence",subtype: ST10,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST10,barcode_mapping
OP716147.1,289,Homo sapiens,"Blastocystis sp. isolate 281 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST1,barcode_mapping
OP716146.1,286,Homo sapiens,"Blastocystis sp. isolate 279 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716145.1,286,Homo sapiens,"Blastocystis sp. isolate 275.4 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716144.1,294,Homo sapiens,"Blastocystis sp. isolate 275.3 small subunit ribosomal RNA gene, partial sequence",subtype: ST14,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST14,barcode_mapping
OP716143.1,293,Homo sapiens,"Blastocystis sp. isolate 274 small subunit ribosomal RNA gene, partial sequence",subtype: ST4,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST4,barcode_mapping
OP716142.1,295,Homo sapiens,"Blastocystis sp. isolate 271 small subunit ribosomal RNA gene, partial sequence",subtype: ST14,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST26,barcode_mapping
OP716141.1,296,Homo sapiens,"Blastocystis sp. isolate 269 small subunit ribosomal RNA gene, partial sequence",subtype: ST14,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST26,barcode_mapping
OP716140.1,285,Homo sapiens,"Blastocystis sp. isolate 252 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716139.1,286,Homo sapiens,"Blastocystis sp. isolate 248 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716138.1,295,Homo sapiens,"Blastocystis sp. isolate 247.4 small subunit ribosomal RNA gene, partial sequence",subtype: ST10,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST43,barcode_mapping
OP716137.1,286,Homo sapiens,"Blastocystis sp. isolate 247.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716136.1,286,Homo sapiens,"Blastocystis sp. isolate 234 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
OP716135.1,293,Homo sapiens,"Blastocystis sp. isolate 229.5 small subunit ribosomal RNA gene, partial sequence",subtype: ST10,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST10,barcode_mapping
OP716134.1,294,Homo sapiens,"Blastocystis sp. isolate 229.3 small subunit ribosomal RNA gene, partial sequence",subtype: ST14,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST25,barcode_mapping
OP716133.1,286,Homo sapiens,"Blastocystis sp. isolate 229.1 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Homo sapiens,First Epidemiological Survey on the Prevalence and Subtypes Distribution of the Enteric Parasite Blastocystis sp. in Vietnam; Direct Submission,,,,,ST3,barcode_mapping
